Country	Number groups	Revenue	P/L before tax	Income tax paid	Income tax accrued	capital	accum_earnings	Number employees	Tangible assets	ISO2	Income tax as % of pretax profits	Sales share %	Employment share %	Profit total (M)	Sales total (M)	Employment (th)	Subject Descriptor	Units	Scale	Country/Series-specific Notes	GDP_USD	Estimates Start After	Reg	Inc	Year	ISO	TotTax (X)	CIT (AK)	CITnr (AM)	TTxsc (Y)	GDP_LCU	number_datapoints	CIT	TotTax (X) USD	CIT (AK) USD	CITnr (AM) USD	TTxsc (Y) USD	routine	residual	reallocation_residual_1	reallocation_residual_2	new_profits_1	new_profits_2	gains_1	gains_2	routine_nonhaven	new_profits_3	new_profits_4	gains_3	gains_4	new_profits_5	new_profits_6	gains_5	gains_6	gains_1_tax	gains_1_%tot_tax	gains_1_%cit	gains_2_tax	gains_2_%tot_tax	gains_2_%cit	gains_3_tax	gains_3_%tot_tax	gains_3_%cit	gains_4_tax	gains_4_%tot_tax	gains_4_%cit	gains_5_tax	gains_5_%tot_tax	gains_5_%cit	gains_6_tax	gains_6_%tot_tax	gains_6_%cit
Equatorial Guinea	16.0	2449913229.0	439637664.0	215212798.0	274883103.0	3148121644.0	739535767.0	1728.0	3405425658.0	GQ	48.95231132881281						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	10178000000.0	2016.0	Sub - Saharan Africa	Upper-Middle Income	1980.0	GNQ	0.0592532722908732	0.030264849697572187		0.0592532722908732	7343.0	4.0	0.349999994	603079805.3765075	308035640.22188973		603079805.3765075	255406924.35	184230739.65	143742148.43221506	101795160.82305628	399149072.78221506	357202085.17305624	-40488591.21778494	-82435578.82694376	439637664.0	491522694.97571796	476381549.7015077	51885030.97571796	36743885.70150769	213963137.08413535	151524185.40589893	-225674526.91586465	-288113478.5941011	-14171006.68329318	-0.023497730411394073	-0.046004438554854456	-28852452.09481684	-0.04784184752597382	-0.09366595395920202	18159760.5301911	0.03011170390435113	0.05895343966402699	12860359.775064375	0.021324474241075857	0.04174958380075945	-78986083.06650546	-0.1309711954576125	-0.25641865015882187	-100839715.7792545	-0.16720791324839582	-0.3273637937045721
Gabon	19.0	182097413.0	-127245247.0	20691878.0	12269419.0	238273368.0	-269053037.0	658.0	206859778.0	GA	-16.261415249561345						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	14020000000.0	2016.0	Sub - Saharan Africa	Upper-Middle Income	1980.0	GAB					963205.0	1.0	0.325000003					15514483.35	-142759730.35	10684081.811033139	16736745.180616276	26198565.16103314	32251228.530616276	153443812.16103315	159496475.53061628	-127245247.0	-123388730.85801418	-121203967.16941167	3856516.1419858187	6041279.830588326	15903474.97992363	24912988.58741608	143148721.97992364	152158235.58741608	49869239.41266721			51836355.02593972			1253367.7577149395			1963415.9630650452			46523335.07292134			49451427.022384934		
Ghana	59.0	2027678093.0	-5242612.0	45327056.0	28270182.0	966095239.0	1272009417.0	5464.0	3787472825.0	GH	-864.5891780662006						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	42787000000.0	2016.0	Sub - Saharan Africa	Lower-Middle Income	1980.0	GHA	0.12377315566053088	0.019683257624013725		0.12377315566053088	11.0	4.0	0.25	5295882011.247134	842187543.9586753		5295882011.247134	284060461.875	-289303073.875	118968623.85437438	154105382.07786316	403029085.7293744	438165843.95286316	408271697.7293744	443408455.95286316	-5242612.0	37700190.797563784	50383122.06508786	42942802.797563784	55625734.06508786	177087237.47417963	229389022.98707476	182329849.47417963	234631634.98707476	102067924.4323436	0.019273073723239446	0.1211938186031304	110852113.98821579	0.02093175674095335	0.13162402458145964	10735700.699390946	0.0020271789810632095	0.012747399051912038	13906433.516271966	0.002625895646228176	0.016512276411623502	45582462.36854491	0.008607152174413839	0.054123885701617025	58657908.74676869	0.011076135877308805	0.06964946129581671
Kenya	76.0	1053650130.0	19275331.0	50381624.0	35955687.0	420150818.0	-333907837.0	3294.0	280751338.0	KE	261.37877476656564						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	70527000000.0	2016.0	Sub - Saharan Africa	Lower-Middle Income	1980.0	KEN	0.15581335518074638	0.035183495638258434	0.035183495638258434	0.15575419832881146	74940.0	5.0	0.300000012	10989048500.8325	2481386396.8794527	2481386396.8794527	10984876345.536085	21056350.349999998	-1781019.3499999978	61820121.45952729	87952850.82425973	82876471.8095273	109009201.17425972	63601140.80952729	89733870.17425972	19275331.0	41589864.01508714	51022709.47731148	22314533.015087143	31747378.477311477	92020519.14954047	130919622.97144856	72745188.14954047	111644291.97144856	19080343.006071877	0.0017363052865429069	0.007689388089685257	26920162.129084356	0.002449726391420054	0.010848839246857592	6694360.172300539	0.0006091846961812383	0.0026978306082112995	9524213.924161984	0.0008667005085508955	0.0038382631323116245	21823557.317804396	0.0019859369367740166	0.008794904874649637	33493288.931166068	0.0030478788885706263	0.013497812744233076
Libya	21.0	72873033.0	-166554664.0	15264700.0	-44801222.0	1520368243.0	-828991479.0	126.0	1852368936.0	LY	-9.164979012536088						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	18539000000.0	2016.0	Middle East & North Africa	Upper-Middle Income	1980.0	LBY	0.011925228815327892			0.011925228815327892	11529.0	3.0	0.20000000300000004	221081817.00736377			221081817.00736377	138927670.2	-305482334.2	4275631.562048154	4319780.429447425	143203301.76204816	143247450.6294474	309757965.7620481	309802114.6294474	-166554664.0	-165011336.04464918	-164995400.1109127	1543327.9553508162	1559263.8890872896	6364365.302798942	6430081.797720501	172919029.30279893	172984745.7977205	61951594.08168353	0.2802202140378648		61960423.85529584	0.28026015297871404		308665.59570014715	0.0013961600274429904		311852.78249524964	0.0014105763500435792		34583806.37931688	0.15642989933525364		34596949.67849834	0.15648934926813085	
Mauritius	182.0	3705440643.0	2507667354.0	150205883.0	130050862.0	20676507580.0	10197706517.0	3321.0	47389028.0	MU	5.989864754605726						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	12150000000.0	2016.0	Sub - Saharan Africa	Tax haven	1980.0	MUS	0.1869520072573858	0.02597138578907676	0.02597138578907676	0.1839419409135125	9414.0	5.0	0.150000006	2271466888.1772375	315552337.3372826	315552337.3372826	2234894582.099177	3554177.1	2504113176.9	217406883.07164058	166213795.48354995	220961060.17164057	169767972.58354995	-2286706293.8283596	-2337899381.41645	0.0	78474984.44637333	59996375.60254283	-2429192369.5536265	-2447670978.397457	323614605.9666571	247412644.76850426	-2184052748.033343	-2260254709.231496	-343005957.7944917	-0.15100636490886313	-1.0870017971943111	-350684921.23986375	-0.15438698361184325	-1.1113367886894439	-364378870.0081982	-0.1604156643905991	-1.1547335477940912	-367150661.44564444	-0.16163592934443713	-1.1635174834823367	-327607925.3093179	-0.14422747124973956	-1.0382047177142266	-339038219.94625264	-0.14925959154892962	-1.0744278518332344
Morocco	112.0	2772423296.0	193907426.0	41007322.0	38978272.0	711053152.0	382979867.0	27322.0	678185844.0	MA	21.147886311481447						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	103607000000.0	2016.0	Middle East & North Africa	Lower-Middle Income	1980.0	MAR	0.22349089356429672	0.04546631785270285	0.04546631785270285	0.22349089356429672	86600.0	5.0	0.306000006	23155221009.51609	4710628793.764984	4710628793.764984	23155221009.51609	50863938.3	143043487.7	162664569.59099218	554472269.9083748	213528507.89099216	605336208.2083747	19621081.890992165	411428782.20837474	193907426.0	252622676.3558166	394049216.0953336	58715250.3558166	200141790.09533358	242129549.20833173	825343349.8087941	48222123.208331734	631435923.8087941	6004051.176370094	0.0002592957836119384	0.001274575314513657	125897209.82433537	0.005437098172053527	0.026726200542690533	17966866.96117138	0.0007759315686854185	0.0038141122444104343	61243388.97002281	0.0026449062587160645	0.013001106996816416	14755969.99108225	0.0006372631893696025	0.003132484141100937	193219396.47410655	0.00834452827700065	0.04101775048160298
Mozambique	26.0	380520518.0	-113204834.0	5799439.0	-956872.0	34417441.0	457652775.0	5450.0	291917778.0	MZ	-5.122960561913813						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	11272000000.0	2016.0	Sub - Saharan Africa	Low Income	1980.0	MOZ	0.20883470236082652			0.20883470236082652	188.0	3.0	0.319999993	2353984765.0112367			2353984765.0112367	21893833.349999998	-135098667.35	22326030.21707238	105541644.74272066	44219863.56707238	127435478.09272066	157424697.5670724	240640312.09272066	-113204834.0	-105146051.08898848	-75108620.97945628	8058782.911011517	38096213.020543724	33232754.03896364	157100903.5865422	146437588.03896365	270305737.5865422	50375902.11949028	0.021400266844653862		77004898.18518843	0.03271257288057293		2578810.475112205	0.0010955085663436294		12190787.8999005	0.00517878793486682		46860027.147405244	0.01990668242374184		86497834.13555333	0.03674528205161958	
Namibia	22.0	72571786.0	3681039.0	6055148.0	2397022.0	32641760.0	-13785429.0	499.0	15412139.0	NA	164.49562202410792						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	10945000000.0	2016.0	Sub - Saharan Africa	Upper-Middle Income	1980.0	NAM	0.2871081273277327	0.04645220388829294	0.03674352453385081	0.2871081273277327	1689.0	5.0	0.3260000049999999	3142398453.6020346	508419371.5573662	402157876.02299714	3142398453.6020346	1155910.425	2525128.575	4257956.694842169	10770251.042367516	5413867.119842169	11926161.467367517	1732828.1198421689	8245122.467367517	3681039.0	5217987.051874524	7568658.706846245	1536948.051874524	3887619.7068462446	6338055.900329414	16031739.648690052	2657016.900329414	12350700.648690052	564901.9757326875	0.00017976777422518069	0.0011110945163287278	2687909.9655874223	0.000855368918128875	0.005286796916006453	501045.07259583496	0.00015944670289074972	0.000985495637314246	1267364.043869974	0.0004033110576468219	0.0024927532560135236	866187.5227924732	0.0002756453503850185	0.0017036870962237503	4026328.473226459	0.0012812915143244176	0.007919305790598026
Nigeria	101.0	10721920720.0	836401154.0	1485673354.0	1403826132.0	3969506618.0	4342529082.0	10510.0	32013919637.0	NG	177.62688954874397						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	405442000000.0	2017.0	Sub - Saharan Africa	Lower-Middle Income	1980.0	NGA		0.010496152063655768	0.010496152063655768		49012.0	3.0	0.300000012		4255580884.992722	4255580884.992722		2401043972.775	-1564642818.775	629080206.3392924	496543662.3357524	3030124179.1142926	2897587635.1107526	2193723025.1142926	2061186481.1107526	836401154.0	1063473354.7993175	1015633088.2801265	227072200.79931748	179231934.28012645	936398793.9095255	739115428.9216994	99997639.90952551	-97285725.0783006	658116933.8589641		0.15464796737381004	618355969.0674635		0.1453047153323044	68121662.96466164		0.016007606201280826	53769582.434821144		0.012635074714344927	29999293.17282933		0.0070494003012894525	-29185718.690918878		-0.006858222057026838
Senegal	21.0	135205615.0	67678367.0	1489415.0	2014471.0	44568671.0	-4345628.0	419.0	26835616.0	SN	2.200725380977352						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	14715000000.0	2016.0	Sub - Saharan Africa	Lower-Middle Income	1980.0	SEN	0.15920231467656384	0.014708914579867184	0.014708914579867184	0.15920231467656384	937036.0	5.0	0.300000012	2342662060.4656367	216441678.04274562	216441678.04274562	2342662060.4656367	2012671.2	65665695.8	7932830.171349274	11222313.400669737	9945501.371349273	13234984.600669736	-57732865.628650725	-54443382.399330266	67678367.0	70541793.93256505	71729162.71137443	2863426.9325650483	4050795.711374432	11808180.467109036	16704643.743939526	-55870186.53289096	-50973723.25606047	-17319860.381389603	-0.007393238945418802	-0.08002091158232963	-16333015.373119667	-0.006971989536499025	-0.07546150778730341	859028.1141306376	0.0003666888744336833	0.0039688664489146395	1215238.762021878	0.0005187426656751049	0.005614624563120775	-16761056.630309526	-0.0071547052872739285	-0.07743913640791189	-15292117.58850282	-0.006527666899366313	-0.07065237031419956
South Africa	332.0	29047941327.0	1112087653.0	369538506.0	313323851.0	11999501483.0	3024271316.0	102349.0	6592854411.0	ZA	33.22926075144546						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	295678000000.0	2017.0	Sub - Saharan Africa	Upper-Middle Income	1980.0	ZAF	0.2915062052022465	0.053464190209814806	0.053464190209814806	0.2859808015345326	64628.0	5.0	0.280000001	86191971741.78984	15808184832.857622	15808184832.857622	84558231436.12753	494464080.825	617623572.175	1704310766.785899	2624551413.5634356	2198774847.610899	3119015494.3884354	1086687194.610899	2006927841.3884354	1112087653.0	1727274067.6418848	2059443267.7264602	615186414.6418848	947355614.7264602	2536901543.5284305	3906698626.738906	1424813890.5284305	2794610973.738906	304272415.5777389	0.00353017119145696	0.019247776945604957	561939797.5956898	0.0065196303813436895	0.0355473954497095	172252196.71491417	0.001998471472852945	0.010896393136603805	265259573.07076448	0.0030775438560034056	0.016779888132343775	398947890.7727744	0.004628596871735631	0.025236793154363515	782491075.4415046	0.00907846821030684	0.049499109715309096
Tanzania	31.0	288442985.0	-36826241.0	9007302.0	5999112.0	83725141.0	30194890.0	2823.0	669172298.0	TZ	-24.458923190124132						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	47653000000.0	2016.0	Sub - Saharan Africa	Low Income	1980.0	TZA	0.11826672685812376	0.01220380165428338		0.11826672685812376	72757.0	4.0	0.300000012	5635764334.970171	581547760.2315658		5635764334.970171	50187922.35	-87014163.35	16923625.650621433	57348211.25784334	67111548.00062144	107536133.60784334	103937789.00062144	144362374.60784334	-36826241.0	-30717504.970372416	-16125884.493791308	6108736.029627584	20700356.50620869	25191164.00122602	85363989.06461512	62017405.00122602	122190230.06461512	31181337.947439898	0.005532761147225106	0.05361784548017834	43308714.114701495	0.0076846212049657536	0.07447146576139585	1832620.8821931074	0.00032517698989320977	0.003151281816412427	6210107.200266886	0.0011019103765096939	0.01067858501904313	18605222.244576667	0.0033012775444016397	0.03199259547860398	36657070.485667296	0.006504365389838699	0.06303363711876538
Tunisia	47.0	545039004.0	25517038.0	5966963.0	9753283.0	227512155.0	-53168357.0	6849.0	78225104.0	TN	23.384230567826876						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	42074000000.0	2017.0	Middle East & North Africa	Lower-Middle Income	1980.0	TUN	0.2961493235343244	0.016142475363287122	0.012288781248260121	0.20244518679360834	3874.0	5.0	0.2600000024	12460186638.383163	679178508.4349424	517038182.2392963	8517678789.154278	5866882.8	19650155.2	31978715.199759696	134594721.70346326	37845597.9997597	140461604.50346327	12328559.999759696	114944566.50346327	25517038.0	37060045.0219497	74100222.40986386	11543007.021949701	48583184.40986386	47600973.67883252	200347004.72158077	22083935.678832524	174829966.72158077	3205425.6295260647	0.00025725342023785296	0.004719562809654346	29885587.56676741	0.0023984863496912573	0.04400255189999156	3001181.8534101387	0.00024086170941975334	0.004418841020641068	12631628.063164245	0.0010137591377847393	0.01859839189003757	5741823.329497902	0.000460813589405669	0.008454070996340874	45455791.76720292	0.0036480827363514737	0.0669276062223295
Uganda	22.0	161252688.0	3140810.0	7212844.0	4343081.0	170675888.0	-32062641.0	499.0	133218064.0	UG	229.64916693464423						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	25307000000.0	2016.0	Sub - Saharan Africa	Low Income	1980.0	UGA	0.12676283303332275			0.12676283303332275	1731.0	3.0	0.300000012	3207987015.574299			3207987015.574299	9991354.799999999	-6850544.799999999	9461072.963408887	13371809.176650874	19452427.763408884	23363163.97665087	16311617.763408884	20222353.97665087	3140810.0	6555870.016314473	7967485.689066218	3415060.016314473	4826675.689066218	14083001.217888974	19904212.30746983	10942191.217888974	16763402.30746983	4893485.524762078	0.0015254068987826121		6066706.435663509	0.0018911256205871637		1024518.045875062	0.0003193647732678404		1448002.7646399736	0.00045137425981156906		3282657.4966729865	0.0010232764287187491		5029020.893401776	0.0015676562495379905	
Zambia	24.0	523769287.0	-50771214.0	12669905.0	14524143.0	124036778.0	-196271452.0	2514.0	108339455.0	ZM	-24.954898655761905						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	20941000000.0	2016.0	Sub - Saharan Africa	Lower-Middle Income	1980.0	ZMB	0.12970041370119112			0.12970041370119112	3064.0	3.0	0.349999994	2716056363.316643			2716056363.316643	8125459.125	-58896673.125	30730771.075888358	58900775.427914776	38856230.20088836	67026234.552914776	89627444.20088837	117797448.55291477	-50771214.0	-39678663.717630506	-29510445.388263788	11092550.282369494	21260768.611736212	45743383.246509604	87675012.68556485	96514597.24650961	138446226.68556485	31369604.93254626	0.011549688495506796		41229106.286735475	0.015179768300680477		3882392.5322740213	0.0014294226676257692		7441268.8865430625	0.0027397328667569864		33780108.45719078	0.012437189784950214		48456178.50927033	0.017840638052922915	
Zimbabwe	19.0	314531559.0	45277106.0	4994310.0	6503421.0	23418016.0	201145335.0	2714.0	153758451.0	ZW	11.030541572157905						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	16117000000.0	2013.0	Sub - Saharan Africa	Lower-Middle Income	1980.0	ZWE	0.1358328081496465	0.017664210668780524	0.017664210668780524	0.13131033173372694	3400000.0	5.0	0.2559999944	2189217368.9478526	284694083.3487357	284694083.3487357	2116328616.5524771	11531883.825	33745222.175	18454303.40357332	56225977.54163559	29986187.22857332	67757861.36663559	-15290918.771426681	22480755.36663559	45277106.0	51938354.03457513	65572382.07738171	6661248.034575127	20295276.077381708	27469609.24125195	83693521.15328686	-17807496.75874805	38416415.15328686	-3914475.119856085	-0.001788070556802406	-0.013749759298864857	5755073.24796648	0.002628826780564231	0.020214938014418832	1705279.4595482436	0.0007789447880946643	0.005989866173155989	5195590.562156171	0.002373263905106506	0.018249731434677684	-4558719.070517519	-0.002082351042513635	-0.016012693403723886	9834602.06410951	0.004492291265182161	0.03454445539727858
